id,student_name,URN,Maths,SESD,AIML,FSD,DVA,contest_scores,topic_wise_accuracy,time_spent_per_topic
121,Aarav Kumar,2024-A-52242006B,84,75,60,97,63,380,"{Maths:0.95,SESD:0.92,AIML:0.69,FSD:0.91,DVA:0.72}","{Maths:8.5,SESD:9.3,AIML:19.0,FSD:5.3,DVA:18.7}"
122,Prisha Singh,2024-A-91562006B,86,56,63,67,42,338,"{Maths:0.51,SESD:0.56,AIML:0.57,FSD:0.62,DVA:0.6}","{Maths:16.2,SESD:7.5,AIML:11.3,FSD:14.2,DVA:13.5}"
123,Reyansh Gupta,2024-A-94542006B,50,75,88,97,94,436,"{Maths:0.92,SESD:0.59,AIML:0.55,FSD:0.92,DVA:0.84}","{Maths:13.4,SESD:7.7,AIML:10.6,FSD:8.0,DVA:5.3}"
124,Ishaan Kapoor,2024-B-47142006B,72,48,,88,91,341,"{Maths:0.98,SESD:0.8,AIML:0.83,FSD:0.74,DVA:0.81}","{Maths:8.2,SESD:9.4,AIML:12.8,FSD:13.8,DVA:19.9}"
125,Aarav Singh,2024-C-27422006B,89,58,64,-2,57,280,"{Maths:0.9,SESD:0.64,AIML:0.71,FSD:0.63,DVA:0.56}","{Maths:10.2,SESD:16.0,AIML:10.3,FSD:12.9,DVA:7.8}"
126,Myra Sharma,2024-C-41322006B,95,48,97,83,97,459,"{Maths:0.84,SESD:0.59,AIML:0.94,FSD:0.89,DVA:0.74}","{Maths:16.2,SESD:8.2,AIML:14.5,FSD:19.0,DVA:18.9}"
127,Saanvi Gupta,2024-B-21732006B,198,46,87,91,68,326,"{Maths:0.75,SESD:0.6,AIML:0.63,FSD:0.58,DVA:0.71}","{Maths:10.7,SESD:15.9,AIML:12.9,FSD:20.0,DVA:12.9}"
128,Aadhya Patel,2024-C-93312006B,81,48,192,47,54,242,"{Maths:0.71,SESD:0.75,AIML:0.75,FSD:0.92,DVA:0.62}","{Maths:6.2,SESD:6.8,AIML:15.0,FSD:5.6,DVA:19.0}"
129,Arjun Kumar,2024-B-37912006B,70,83,58,42,94,387,"{Maths:0.66,SESD:0.67,AIML:0.68,FSD:0.59,DVA:0.69}","{Maths:19.5,SESD:5.8,AIML:6.9,FSD:18.0,DVA:19.3}"
130,Ira Kapoor,2024-A-94672006B,88,56,81,71,86,427,"{Maths:0.99,SESD:0.54,AIML:0.69,FSD:0.93,DVA:0.59}","{Maths:11.2,SESD:19.0,AIML:12.7,FSD:9.0,DVA:16.2}"
131,Ira Patel,2024-C-77912006B,51,78,69,43,66,317,"{Maths:0.56,SESD:0.67,AIML:0.6,FSD:0.72,DVA:0.84}","{Maths:7.5,SESD:9.3,AIML:11.7,FSD:16.5,DVA:11.2}"
132,Vivaan Mishra,2024-C-45842006B,88,51,51,71,98,376,,"{Maths:18.8,SESD:15.2,AIML:15.3,FSD:11.8,DVA:9.3}"
133,Arjun Patel,2024-A-15682006B,86,60,93,80,91,,"{Maths:0.5,SESD:0.75,AIML:0.98,FSD:0.71,DVA:0.95}","{Maths:13.0,SESD:6.7,AIML:5.0,FSD:16.1,DVA:19.7}"
134,Anvi Mishra,2024-C-30232006B,79,91,96,69,44,379,,"{Maths:6.6,SESD:11.0,AIML:11.7,FSD:17.5,DVA:8.2}"
135,Ira Kapoor,2024-A-28492006B,56,79,80,92,79,414,"{Maths:0.73,SESD:0.94,AIML:0.99,FSD:0.78,DVA:0.87}","{Maths:6.5,SESD:8.0,AIML:17.3,FSD:8.1,DVA:18.6}"
136,Pari Gupta,2024-B-81592006B,66,85,76,175,98,349,"{Maths:0.57,SESD:0.86,AIML:0.69,FSD:0.86,DVA:0.61}","{Maths:5.7,SESD:16.4,AIML:9.9,FSD:18.0,DVA:11.2}"
137,Sai Kumar,2024-B-72042006B,85,87,46,90,67,410,"{Maths:0.88,SESD:0.91,AIML:0.98,FSD:0.55,DVA:0.88}","{Maths:13.5,SESD:8.6,AIML:8.7,FSD:19.7,DVA:9.8}"
138,Reyansh Singh,2024-A-52082006B,58,78,68,76,63,360,"{Maths:0.68,SESD:0.71,AIML:0.9,FSD:0.87,DVA:0.95}","{Maths:8.9,SESD:11.7,AIML:10.4,FSD:12.3,DVA:10.4}"
139,Saanvi Reddy,2024-B-37622006B,59,69,61,91,48,333,"{Maths:0.5,SESD:0.89,AIML:0.93,FSD:0.75,DVA:0.87}","{Maths:8.4,SESD:18.6,AIML:9.2,FSD:14.5,DVA:16.7}"
140,Ananya Reddy,2024-A-60002006B,96,71,44,,43,296,"{Maths:0.65,SESD:0.69,AIML:0.81,FSD:0.9,DVA:0.54}","{Maths:9.2,SESD:10.9,AIML:6.7,FSD:19.7,DVA:17.2}"
141,Vihaan Kapoor,2024-B-43692006B,77,97,49,60,83,411,"{Maths:0.5,SESD:0.7,AIML:0.72,FSD:0.91,DVA:0.83}","{Maths:8.8,SESD:13.5,AIML:12.9,FSD:12.6,DVA:12.8}"
142,Pari Mishra,2024-C-13002006B,48,72,41,61,,254,"{Maths:0.74,SESD:0.6,AIML:0.53,FSD:0.56,DVA:0.82}","{Maths:14.3,SESD:14.1,AIML:13.7,FSD:8.2,DVA:19.1}"
143,Ananya Nair,2024-C-40572006B,76,67,42,83,73,390,"{Maths:0.78,SESD:0.54,AIML:0.89,FSD:0.62,DVA:0.61}","{Maths:6.6,SESD:11.6,AIML:6.2,FSD:13.8,DVA:19.3}"
144,Myra Patel,2024-B-37262006B,42,98,98,57,86,420,"{Maths:0.94,SESD:0.87,AIML:0.67,FSD:0.84,DVA:0.84}","{Maths:11.8,SESD:9.6,AIML:7.5,FSD:17.6,DVA:18.6}"
145,Diya Kumar,2024-A-80332006B,69,87,59,47,59,341,"{Maths:0.93,SESD:0.83,AIML:0.75,FSD:0.78,DVA:0.86}","{Maths:16.2,SESD:17.6,AIML:19.8,FSD:16.7,DVA:7.0}"
146,Riya Nair,2024-B-14662006B,82,60,67,81,40,356,"{Maths:0.88,SESD:0.54,AIML:0.66,FSD:0.87,DVA:0.68}","{Maths:17.1,SESD:15.0,AIML:15.0,FSD:15.9,DVA:10.8}"
147,Anvi Mishra,2024-C-47012006B,49,73,51,96,99,381,"{Maths:0.69,SESD:0.8,AIML:0.55,FSD:0.85,DVA:0.89}","{Maths:16.0,SESD:9.1,AIML:10.4,FSD:14.9,DVA:13.9}"
148,Vivaan Nair,2024-A-70872006B,58,80,65,52,64,319,,"{Maths:12.6,SESD:17.3,AIML:19.4,FSD:16.4,DVA:16.0}"
149,Aarav Kapoor,2024-C-99732006B,77,56,60,61,77,347,"{Maths:0.81,SESD:0.75,AIML:0.94,FSD:0.77,DVA:0.56}","{Maths:5.8,SESD:11.5,AIML:13.4,FSD:5.7,DVA:15.6}"
150,Arjun Nair,2024-A-17472006B,62,60,79,75,42,340,"{Maths:0.73,SESD:0.92,AIML:0.51,FSD:0.98,DVA:0.74}","{Maths:18.1,SESD:19.2,AIML:14.2,FSD:16.9,DVA:17.3}"
151,Ananya Verma,2024-A-29982006B,98,41,49,72,-2,260,"{Maths:0.56,SESD:0.76,AIML:0.93,FSD:0.52,DVA:0.62}","{Maths:19.0,SESD:11.5,AIML:7.9,FSD:12.6,DVA:5.8}"
152,Myra Verma,2024-C-66482006B,59,90,45,85,47,371,"{Maths:0.94,SESD:0.9,AIML:0.94,FSD:0.65,DVA:0.6}","{Maths:15.8,SESD:16.1,AIML:5.9,FSD:10.0,DVA:18.8}"
153,Aadhya Gupta,2024-C-72582006B,72,86,97,67,59,413,"{Maths:0.97,SESD:0.59,AIML:0.65,FSD:0.62,DVA:0.79}","{Maths:6.3,SESD:19.8,AIML:19.4,FSD:18.6,DVA:11.1}"
154,Vihaan Kapoor,2024C10042006B,82,95,47,88,88,442,"{Maths:0.69,SESD:0.56,AIML:0.9,FSD:0.85,DVA:0.64}","{Maths:6.0,SESD:12.5,AIML:17.4,FSD:6.5,DVA:16.6}"
155,Ananya Verma,2024-C-34922006B,81,98,95,41,79,410,"{Maths:0.63,SESD:0.67,AIML:0.77,FSD:0.62,DVA:0.76}","{Maths:13.1,SESD:7.7,AIML:12.3,FSD:9.3,DVA:15.2}"
156,Ishaan Kumar,2024-C-98962006B,40,-7,62,96,84,329,"{Maths:0.53,SESD:0.61,AIML:0.74,FSD:0.63,DVA:0.84}","{Maths:12.9,SESD:17.9,AIML:9.0,FSD:13.9,DVA:14.7}"
157,Reyansh Kapoor,2024-C-28112006B,73,92,-3,53,73,335,"{Maths:0.57,SESD:0.95,AIML:0.76,FSD:0.95,DVA:0.51}","{Maths:11.4,SESD:11.9,AIML:5.6,FSD:7.1,DVA:19.6}"
158,Pari Mishra,2024-B-86582006B,79,93,79,62,41,372,"{Maths:0.75,SESD:0.82,AIML:0.56,FSD:0.91,DVA:0.71}","{Maths:11.4,SESD:18.6,AIML:16.8,FSD:13.1,DVA:16.1}"
159,Ananya Gupta,2024-B-24082006B,66,41,67,52,87,342,"{Maths:0.57,SESD:0.67,AIML:0.55,FSD:0.94,DVA:0.59}","{Maths:9.3,SESD:19.9,AIML:5.0,FSD:15.2,DVA:7.1}"
160,Vivaan Singh,2024-C-41102006B,85,58,52,70,54,334,"{Maths:0.76,SESD:0.67,AIML:0.51,FSD:0.63,DVA:0.77}","{Maths:12.0,SESD:6.4,AIML:8.6,FSD:5.8,DVA:5.3}"
161,Vihaan Singh,2024-A-16292006B,79,59,95,53,,334,"{Maths:0.54,SESD:0.68,AIML:0.61,FSD:0.96,DVA:0.75}","{Maths:13.1,SESD:17.8,AIML:12.1,FSD:15.5,DVA:9.2}"
162,Anvi Kapoor,2024-A-79212006B,68,43,93,42,78,373,"{Maths:0.64,SESD:0.82,AIML:0.9,FSD:0.95,DVA:0.87}","{Maths:9.2,SESD:18.4,AIML:16.4,FSD:9.2,DVA:19.7}"
163,Riya Verma,2024-B-34312006B,67,52,98,59,72,370,"{Maths:0.75,SESD:0.87,AIML:0.9,FSD:0.78,DVA:0.89}","{Maths:14.7,SESD:13.9,AIML:15.4,FSD:10.6,DVA:7.0}"
164,Vivaan Singh,2024-A-76842006B,57,79,77,,46,264,"{Maths:0.69,SESD:0.55,AIML:0.91,FSD:0.93,DVA:0.94}","{Maths:12.0,SESD:16.8,AIML:19.7,FSD:17.4,DVA:6.6}"
165,Pari Patel,2024-C-89662006B,81,95,77,69,82,426,"{Maths:0.53,SESD:0.86,AIML:0.68,FSD:0.66,DVA:0.98}","{Maths:6.0,SESD:17.3,AIML:19.1,FSD:5.5,DVA:13.9}"
166,Myra Patel,2024-B-96062006B,46,99,90,,40,324,"{Maths:0.84,SESD:0.98,AIML:0.63,FSD:0.72,DVA:0.53}","{Maths:6.8,SESD:19.2,AIML:14.7,FSD:8.1,DVA:19.5}"
167,Riya Sharma,2024-A-65392006B,53,45,94,59,78,365,"{Maths:0.67,SESD:0.68,AIML:0.87,FSD:0.62,DVA:0.9}","{Maths:5.9,SESD:16.9,AIML:6.1,FSD:5.4,DVA:17.1}"
168,Diya Mishra,2024-C-26172006B,97,40,52,-19,51,274,"{Maths:0.82,SESD:0.85,AIML:0.56,FSD:0.67,DVA:0.91}","{Maths:7.9,SESD:16.1,AIML:11.6,FSD:15.6,DVA:7.1}"
169,Krishna Nair,2024-C-12072006B,58,62,72,92,47,332,"{Maths:0.79,SESD:0.68,AIML:0.78,FSD:0.51,DVA:0.53}","{Maths:11.4,SESD:17.5,AIML:19.3,FSD:7.1,DVA:8.8}"
170,Ira Patel,2024-A-22622006B,86,82,56,94,53,397,"{Maths:0.81,SESD:0.97,AIML:0.54,FSD:0.64,DVA:0.67}","{Maths:18.2,SESD:19.6,AIML:8.6,FSD:8.0,DVA:11.8}"
171,Ira Sharma,2024-B-10932006B,78,94,59,54,63,363,,"{Maths:19.8,SESD:5.6,AIML:13.2,FSD:13.5,DVA:6.3}"
172,Sai Reddy,2024A10042006B,48,-19,65,48,77,285,"{Maths:0.61,SESD:0.54,AIML:0.79,FSD:0.87,DVA:0.93}","{Maths:17.3,SESD:13.5,AIML:16.1,FSD:7.9,DVA:8.3}"
173,Prisha Reddy,2024-B-10552006B,82,44,45,63,-6,254,"{Maths:0.51,SESD:0.56,AIML:0.88,FSD:0.91,DVA:0.7}","{Maths:16.5,SESD:5.5,AIML:15.5,FSD:17.6,DVA:13.1}"
174,Pari Reddy,2024C10042006B,41,83,59,88,55,357,"{Maths:0.79,SESD:0.9,AIML:0.84,FSD:0.9,DVA:0.96}","{Maths:14.6,SESD:8.1,AIML:13.3,FSD:7.6,DVA:19.5}"
175,Aarav Mishra,2024-C-47312006B,65,51,86,87,82,387,"{Maths:0.7,SESD:0.79,AIML:0.56,FSD:0.67,DVA:0.72}","{Maths:8.7,SESD:6.0,AIML:15.4,FSD:17.8,DVA:14.9}"
176,Krishna Kumar,2024-B-38702006B,42,53,46,50,-14,219,"{Maths:0.8,SESD:0.56,AIML:0.63,FSD:0.87,DVA:0.53}","{Maths:19.2,SESD:13.8,AIML:5.3,FSD:17.3,DVA:15.3}"
177,Vihaan Mishra,2024-B-57012006B,41,,84,54,81,266,"{Maths:0.88,SESD:0.95,AIML:0.52,FSD:0.61,DVA:0.76}","{Maths:16.5,SESD:9.3,AIML:9.2,FSD:11.6,DVA:8.1}"
178,Ira Kumar,2024A10042006B,76,49,167,44,63,263,,"{Maths:13.7,SESD:12.0,AIML:10.3,FSD:8.0,DVA:11.2}"
179,Krishna Gupta,2024-C-27102006B,55,94,93,68,45,355,,"{Maths:9.5,SESD:18.5,AIML:15.5,FSD:9.7,DVA:5.7}"
180,Krishna Mishra,2024-B-84072006B,52,85,90,49,48,334,"{Maths:0.72,SESD:0.92,AIML:0.92,FSD:0.95,DVA:0.91}","{Maths:19.3,SESD:18.8,AIML:13.9,FSD:6.0,DVA:14.1}"
181,Saanvi Verma,2024-B-17522006B,84,62,51,51,41,328,"{Maths:0.77,SESD:0.58,AIML:0.64,FSD:0.58,DVA:0.89}","{Maths:14.9,SESD:5.6,AIML:9.0,FSD:19.4,DVA:16.6}"
182,Prisha Reddy,2024-C-83362006B,45,82,83,80,88,401,"{Maths:0.7,SESD:0.94,AIML:0.83,FSD:0.79,DVA:0.57}","{Maths:17.6,SESD:7.3,AIML:16.1,FSD:16.7,DVA:9.0}"
183,Aditya Gupta,2024-C-75822006B,42,53,50,84,67,310,"{Maths:0.73,SESD:0.6,AIML:0.63,FSD:0.72,DVA:0.78}","{Maths:19.6,SESD:16.5,AIML:9.9,FSD:9.2,DVA:11.8}"
184,Vivaan Nair,2024-B-30122006B,42,61,87,96,86,376,"{Maths:0.56,SESD:0.93,AIML:0.55,FSD:0.88,DVA:0.98}","{Maths:6.2,SESD:17.4,AIML:11.4,FSD:12.5,DVA:18.0}"
185,Saanvi Mishra,2024-B-84712006B,44,48,69,98,48,352,"{Maths:0.51,SESD:0.67,AIML:0.99,FSD:0.72,DVA:0.65}","{Maths:17.6,SESD:18.6,AIML:5.2,FSD:15.7,DVA:17.8}"
186,Riya Kumar,2024-B-67082006B,47,184,49,41,,154,"{Maths:0.59,SESD:0.89,AIML:0.87,FSD:0.57,DVA:0.94}","{Maths:18.5,SESD:9.1,AIML:19.3,FSD:18.1,DVA:17.7}"
187,Reyansh Verma,2024-A-58062006B,79,,99,95,64,355,"{Maths:0.98,SESD:1.0,AIML:0.57,FSD:0.78,DVA:0.74}","{Maths:15.9,SESD:11.5,AIML:18.3,FSD:10.7,DVA:6.5}"
188,Aditya Gupta,2024-A-58342006B,65,55,83,51,44,336,"{Maths:0.88,SESD:0.7,AIML:0.79,FSD:0.97,DVA:0.64}","{Maths:14.0,SESD:14.3,AIML:14.0,FSD:13.9,DVA:8.5}"
189,Ira Patel,2024-B-34422006B,46,52,53,64,98,338,"{Maths:0.79,SESD:0.77,AIML:0.81,FSD:0.72,DVA:0.95}","{Maths:19.2,SESD:18.5,AIML:19.7,FSD:13.9,DVA:15.9}"
190,Aditya Nair,2024-B-71502006B,78,47,93,72,61,353,"{Maths:0.94,SESD:0.87,AIML:0.84,FSD:0.58,DVA:0.88}","{Maths:14.4,SESD:18.5,AIML:18.1,FSD:6.7,DVA:16.2}"
191,Riya Patel,2024-A-20512006B,54,73,99,90,86,439,"{Maths:0.89,SESD:0.83,AIML:0.72,FSD:0.5,DVA:0.51}","{Maths:7.2,SESD:16.7,AIML:12.9,FSD:17.8,DVA:7.2}"
192,Ira Nair,2024-A-11322006B,72,57,77,40,61,325,"{Maths:0.52,SESD:0.99,AIML:0.56,FSD:0.77,DVA:0.85}","{Maths:13.4,SESD:16.9,AIML:5.5,FSD:15.0,DVA:11.6}"
193,Arjun Singh,2024-C-54842006B,52,47,60,68,80,,"{Maths:0.89,SESD:0.89,AIML:0.66,FSD:0.84,DVA:0.73}","{Maths:12.1,SESD:5.2,AIML:13.8,FSD:13.2,DVA:10.7}"
194,Riya Verma,2024-B-56182006B,74,44,47,78,89,332,"{Maths:0.8,SESD:0.63,AIML:0.85,FSD:0.61,DVA:0.52}","{Maths:6.3,SESD:15.5,AIML:5.9,FSD:7.3,DVA:17.5}"
195,Sai Singh,2024A10042006B,85,85,85,75,77,424,"{Maths:0.96,SESD:0.94,AIML:0.88,FSD:0.74,DVA:0.65}","{Maths:17.2,SESD:12.7,AIML:10.9,FSD:8.6,DVA:12.1}"
196,Sai Gupta,2024-C-91492006B,73,72,199,54,48,273,"{Maths:0.57,SESD:0.96,AIML:0.55,FSD:0.59,DVA:0.82}","{Maths:13.8,SESD:15.6,AIML:16.9,FSD:10.1,DVA:9.0}"
197,Ananya Patel,2024-C-76122006B,79,58,49,98,74,363,"{Maths:0.51,SESD:0.96,AIML:0.66,FSD:0.64,DVA:0.6}","{Maths:13.7,SESD:14.7,AIML:13.6,FSD:9.7,DVA:9.1}"
198,Prisha Kapoor,2024-C-91672006B,51,40,65,94,70,369,"{Maths:0.95,SESD:0.77,AIML:0.93,FSD:0.97,DVA:0.88}","{Maths:7.5,SESD:16.9,AIML:16.8,FSD:14.8,DVA:8.4}"
199,Krishna Mishra,2024-A-48102006B,77,80,74,90,97,427,"{Maths:0.76,SESD:0.54,AIML:0.6,FSD:0.52,DVA:0.77}","{Maths:18.8,SESD:15.3,AIML:11.7,FSD:16.6,DVA:7.5}"
200,Aarav Kapoor,2024-A-29252006B,79,88,45,86,47,377,"{Maths:0.63,SESD:0.89,AIML:0.99,FSD:0.56,DVA:1.0}","{Maths:7.5,SESD:16.2,AIML:18.9,FSD:10.2,DVA:8.6}"
201,Pari Kapoor,2024-C-83482006B,89,78,90,73,70,428,"{Maths:0.93,SESD:0.77,AIML:0.92,FSD:0.82,DVA:0.85}","{Maths:12.5,SESD:6.2,AIML:10.6,FSD:18.1,DVA:19.6}"
202,Krishna Kumar,2024-A-32422006B,84,54,47,78,81,380,"{Maths:0.65,SESD:0.92,AIML:0.56,FSD:0.93,DVA:0.96}","{Maths:7.4,SESD:10.2,AIML:19.6,FSD:15.3,DVA:14.2}"
203,Riya Sharma,2024-C-62372006B,95,82,83,89,63,441,"{Maths:0.85,SESD:0.75,AIML:0.99,FSD:0.96,DVA:0.6}","{Maths:7.4,SESD:18.2,AIML:18.4,FSD:10.5,DVA:9.9}"
204,Prisha Verma,2024-C-80102006B,64,60,63,75,40,305,"{Maths:0.9,SESD:0.53,AIML:0.84,FSD:0.54,DVA:0.96}","{Maths:7.0,SESD:7.6,AIML:10.4,FSD:9.5,DVA:13.0}"
205,Ishaan Patel,2024-C-32842006B,91,47,,85,45,274,"{Maths:0.95,SESD:0.72,AIML:0.57,FSD:0.84,DVA:0.54}","{Maths:5.3,SESD:17.4,AIML:6.4,FSD:14.6,DVA:15.4}"
206,Diya Verma,2024-A-76912006B,49,89,,68,86,292,"{Maths:0.78,SESD:0.74,AIML:0.91,FSD:0.99,DVA:0.93}","{Maths:7.1,SESD:14.5,AIML:5.2,FSD:6.3,DVA:18.5}"
207,Riya Verma,2024-C-18732006B,85,40,51,86,96,375,"{Maths:0.56,SESD:0.6,AIML:0.99,FSD:0.95,DVA:0.9}","{Maths:10.1,SESD:17.5,AIML:18.6,FSD:19.5,DVA:10.3}"
208,Sai Mishra,2024-A-98092006B,,99,90,83,163,312,"{Maths:0.67,SESD:0.88,AIML:0.61,FSD:0.75,DVA:0.95}","{Maths:14.0,SESD:17.7,AIML:10.7,FSD:18.1,DVA:16.2}"
209,Aarav Patel,2024-A-60392006B,54,41,89,90,161,281,"{Maths:0.77,SESD:0.53,AIML:0.99,FSD:0.91,DVA:0.74}","{Maths:8.8,SESD:9.6,AIML:15.0,FSD:9.6,DVA:12.5}"
210,Diya Patel,2024-C-12572006B,98,85,-17,66,52,344,"{Maths:0.5,SESD:0.99,AIML:0.56,FSD:0.99,DVA:0.8}","{Maths:11.4,SESD:13.4,AIML:8.7,FSD:18.5,DVA:16.0}"
211,Aditya Patel,2024-A-85292006B,44,97,65,87,66,371,"{Maths:0.87,SESD:0.62,AIML:0.53,FSD:0.95,DVA:0.64}","{Maths:17.6,SESD:12.8,AIML:19.7,FSD:7.9,DVA:15.6}"
212,Ishaan Reddy,2024-B-72502006B,69,81,98,76,74,401,"{Maths:0.56,SESD:0.62,AIML:1.0,FSD:0.87,DVA:0.55}","{Maths:15.5,SESD:7.6,AIML:15.7,FSD:11.4,DVA:15.5}"
213,Aadhya Reddy,2024B10042006B,41,79,183,92,59,303,"{Maths:0.83,SESD:0.65,AIML:0.77,FSD:0.68,DVA:0.65}","{Maths:5.9,SESD:8.8,AIML:18.0,FSD:13.7,DVA:15.4}"
214,Pari Nair,2024-B-88362006B,57,66,94,61,93,411,"{Maths:0.98,SESD:0.69,AIML:0.75,FSD:0.61,DVA:0.78}","{Maths:11.0,SESD:6.4,AIML:7.5,FSD:19.8,DVA:10.5}"
215,Ishaan Singh,2024-B-32822006B,83,44,57,77,-19,292,"{Maths:0.83,SESD:0.53,AIML:0.91,FSD:0.59,DVA:0.66}","{Maths:18.9,SESD:10.4,AIML:11.3,FSD:6.6,DVA:10.6}"
216,Aarav Gupta,2024-A-98102006B,79,74,168,93,94,356,"{Maths:0.84,SESD:0.59,AIML:0.69,FSD:0.94,DVA:0.97}","{Maths:11.3,SESD:11.8,AIML:18.9,FSD:13.7,DVA:16.0}"
217,Vihaan Patel,2024-A-12062006B,53,52,55,69,-12,257,"{Maths:0.67,SESD:0.93,AIML:0.54,FSD:0.79,DVA:0.67}",
218,Sai Gupta,2024-C-42752006B,93,88,51,74,46,355,"{Maths:0.67,SESD:0.52,AIML:0.62,FSD:0.95,DVA:0.95}","{Maths:8.3,SESD:18.6,AIML:15.8,FSD:12.2,DVA:5.1}"
219,Aadhya Nair,2024-B-92162006B,85,-10,99,57,53,334,"{Maths:0.89,SESD:0.86,AIML:0.58,FSD:0.64,DVA:0.61}","{Maths:13.3,SESD:10.9,AIML:19.3,FSD:13.9,DVA:8.5}"
220,Aarav Mishra,2024-B-81982006B,98,,49,59,89,305,"{Maths:0.65,SESD:0.72,AIML:0.67,FSD:0.85,DVA:0.94}","{Maths:10.8,SESD:18.3,AIML:10.1,FSD:10.5,DVA:17.2}"
221,Arjun Patel,2024-C-17242006B,51,62,65,70,86,371,"{Maths:0.85,SESD:0.71,AIML:0.56,FSD:0.86,DVA:0.83}","{Maths:5.7,SESD:19.2,AIML:18.5,FSD:5.2,DVA:16.3}"
222,Pari Reddy,2024-A-64032006B,59,77,58,54,78,368,"{Maths:0.51,SESD:0.67,AIML:0.7,FSD:0.9,DVA:0.79}","{Maths:16.1,SESD:6.0,AIML:9.5,FSD:6.6,DVA:7.4}"
223,Reyansh Verma,2024-C-47592006B,69,92,70,47,72,359,"{Maths:0.68,SESD:0.51,AIML:0.67,FSD:0.74,DVA:0.54}","{Maths:13.0,SESD:13.6,AIML:16.4,FSD:8.7,DVA:5.6}"
224,Krishna Kumar,2024-C-80642006B,85,62,44,66,60,360,,"{Maths:14.8,SESD:19.4,AIML:8.2,FSD:10.4,DVA:9.9}"
225,Vivaan Kapoor,2024-A-14922006B,97,96,82,47,57,395,"{Maths:0.66,SESD:0.61,AIML:0.76,FSD:0.98,DVA:0.51}","{Maths:8.7,SESD:5.1,AIML:11.2,FSD:17.8,DVA:10.7}"
226,Sai Gupta,2024-C-52722006B,76,93,73,91,88,460,"{Maths:0.76,SESD:0.96,AIML:0.69,FSD:0.55,DVA:0.54}","{Maths:15.7,SESD:10.8,AIML:17.0,FSD:10.8,DVA:5.0}"
227,Ishaan Mishra,2024-B-45412006B,68,79,63,50,51,360,"{Maths:0.66,SESD:0.58,AIML:0.76,FSD:0.78,DVA:0.98}","{Maths:11.0,SESD:19.0,AIML:9.9,FSD:14.8,DVA:8.6}"
228,Sai Kumar,2024-B-87412006B,54,82,-17,50,53,282,"{Maths:0.92,SESD:0.69,AIML:0.61,FSD:0.88,DVA:0.53}","{Maths:9.3,SESD:5.2,AIML:16.2,FSD:19.1,DVA:14.3}"
229,Sai Singh,2024-C-55752006B,99,51,69,53,57,378,"{Maths:0.99,SESD:0.66,AIML:0.57,FSD:0.83,DVA:0.75}","{Maths:15.3,SESD:19.3,AIML:14.8,FSD:13.7,DVA:7.6}"
230,Aarav Gupta,2024-A-99352006B,92,52,82,98,75,405,"{Maths:0.5,SESD:0.98,AIML:0.59,FSD:0.97,DVA:0.91}","{Maths:15.5,SESD:16.4,AIML:19.2,FSD:11.1,DVA:17.1}"
231,Myra Sharma,2024-C-10752006B,62,94,50,98,87,437,"{Maths:0.79,SESD:0.99,AIML:0.84,FSD:0.67,DVA:0.76}","{Maths:16.5,SESD:18.0,AIML:14.8,FSD:19.1,DVA:18.2}"
232,Ananya Patel,2024-B-92102006B,91,74,88,41,79,418,"{Maths:0.8,SESD:0.64,AIML:0.58,FSD:0.77,DVA:0.87}","{Maths:10.4,SESD:7.8,AIML:16.1,FSD:8.6,DVA:9.9}"
233,Sai Patel,2024-B-39992006B,98,77,78,54,186,314,"{Maths:0.65,SESD:0.52,AIML:0.82,FSD:0.67,DVA:0.73}","{Maths:8.0,SESD:5.5,AIML:14.8,FSD:19.3,DVA:10.2}"
234,Prisha Patel,2024-C-69182006B,88,54,78,,55,280,"{Maths:0.93,SESD:0.54,AIML:0.96,FSD:0.87,DVA:0.67}","{Maths:18.0,SESD:10.8,AIML:19.8,FSD:12.1,DVA:15.9}"
235,Vivaan Kumar,2024-C-46542006B,75,97,74,48,95,417,"{Maths:0.78,SESD:0.63,AIML:0.84,FSD:0.71,DVA:0.98}","{Maths:15.7,SESD:16.5,AIML:11.2,FSD:8.5,DVA:6.9}"
236,Ira Kumar,2024-B-88182006B,,55,75,85,57,297,"{Maths:0.65,SESD:0.69,AIML:0.69,FSD:0.51,DVA:0.52}","{Maths:5.5,SESD:6.3,AIML:18.0,FSD:11.2,DVA:8.0}"
237,Vihaan Kapoor,2024-A-57572006B,56,63,80,55,92,349,"{Maths:0.8,SESD:0.51,AIML:0.84,FSD:0.96,DVA:0.73}","{Maths:6.9,SESD:17.3,AIML:17.1,FSD:13.2,DVA:14.8}"
238,Aarav Verma,2024-A-49762006B,91,56,47,83,46,356,,"{Maths:8.7,SESD:5.5,AIML:5.3,FSD:13.8,DVA:11.2}"
239,Aditya Singh,2024-C-49742006B,-8,78,66,45,80,312,"{Maths:0.76,SESD:0.52,AIML:0.94,FSD:0.81,DVA:0.81}","{Maths:10.8,SESD:14.2,AIML:6.5,FSD:12.1,DVA:12.1}"
240,Ishaan Nair,2024-B-27252006B,86,,46,56,46,236,"{Maths:0.77,SESD:0.59,AIML:0.86,FSD:0.7,DVA:0.93}","{Maths:10.3,SESD:19.3,AIML:5.6,FSD:6.0,DVA:10.1}"
